Order_ID,Order_Date,Customer_ID,Product,category,Quantity,Price,Revenue,Profit,Payment Method,Discount
O01,01-01-2025,C001,Laptop,Electronics,3,50000,150000,100000,Credit,0.05
O02,02-01-2025,C002,Mobile,Electronics,2,20000,40000,20000,Cash,0.1
O03,03-01-2025,C003, Mixer Grinder,Home Appliance,3,5000,15000,10000,Cash,0
O04,05-01-2025,C004, Printer,Electronics,2,8000,16000,8000,Cash,0
O05,06-01-2025,C005,Table,Furniture,1,25000,25000,0,Cash,0.15
O06,08-01-2025,C006,AC,Electronics,2,40000,80000,40000,Credit,0.05
O07,10-01-2025,C007,Sofa,Furniture,2,30000,60000,30000,Credit,0
O08,12-01-2025,C008,Monitor,Electronics,1,12000,12000,0,Cash,0.1
O09,15-01-2025,C009, Chair,Furniture,5,6000,30000,24000,Cash,0
O10,18-01-2025,C010,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0.05
O11,20-01-2025,C001,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0
O12,22-01-2025,C002,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0
O13,25-01-2025,C003,Printer,Electronics,1,8000,8000,0,Cash,0.1
O14,28-01-2025,C004,AC,Electronics,4,50000,200000,150000,Cash,0
O15,30-01-2025,C005,Bookshelf Rack,Furniture,3,15000,45000,30000,Credit,0.05
O16,02-02-2025,C006,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O17,05-02-2025,C007,Mobile,Electronics,2,20000,40000,20000,Credit,0.05
O18,08-02-2025,C008,Monitor,Electronics,2,12000,24000,12000,Cash,0
O19,10-02-2025,C009,Ceiling Fan,Home Appliance,3,25000,75000,50000,Credit,0.1
O20,15-02-2025,C010,Sofa,Furniture,1,30000,30000,0,Cash,0
O21,16-02-2025,C011,Table,Furniture,3,25000,75000,50000,Cash,0.05
O22,18-02-2025,C012,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.1
O23,19-02-2025,C013,AC,Electronics,4,40000,160000,120000,Credit,0
O24,21-02-2025,C014,Chair,Furniture,1,6000,6000,0,Cash,0
O25,22-02-2025,C015,Laptop,Electronics,1,50000,50000,0,Cash,0.15
O26,24-02-2025,C016,Bookshelf Rack,Furniture,2,15000,30000,15000,Cash,0.05
O27,25-02-2025,C017,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0
O28,27-02-2025,C018,Sofa,Furniture,2,30000,60000,30000,Cash,0.1
O29,28-02-2025,C019,Chair,Furniture,1,6000,6000,0,Cash,0
O30,01-03-2025,C020,Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0.05
O31,02-03-2025,C021,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0
O32,03-03-2025,C022,AC,Electronics,1,40000,40000,0,Cash,0
O33,04-03-2025,C023,Ceiling Fan,Home Appliance,1,25000,25000,0,Cash,0.1
O34,05-03-2025,C024,Laptop,Electronics,3,50000,150000,100000,Credit,0
O35,06-03-2025,C025,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.05
O36,07-03-2025,C026,Sofa,Furniture,5,30000,150000,120000,Credit,0
O37,08-03-2025,C027,Monitor,Electronics,1,12000,12000,0,Credit,0.05
O38,09-03-2025,C028,Printer,Electronics,2,8000,16000,8000,Cash,0
O39,10-03-2025,C029,Mobile,Electronics,1,20000,20000,0,Cash,0.1
O40,11-03-2025,C030,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0
O41,12-03-2025,C031,AC,Electronics,1,40000,40000,0,Credit,0.05
O42,13-03-2025,C032,Monitor,Electronics,4,12000,48000,36000,Cash,0.1
O43,14-03-2025,C033,Chair,Furniture,2,6000,12000,6000,Cash,0
O44,15-03-2025,C034, AC,Electronics,5,40000,200000,160000,Cash,0
O45,16-03-2025,C035,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.15
O46,17-03-2025,C036,Laptop,Electronics,3,50000,150000,100000,Cash,0.05
O47,18-03-2025,C037,Sofa,Furniture,1,30000,30000,0,Credit,0
O48,19-03-2025,C038,Bookshelf Rack,Furniture,5,15000,75000,60000,Cash,0.1
O49,20-03-2025,C039,Mobile,Electronics,1,20000,20000,0,Cash,0
O50,21-03-2025,C040,Electric Kettle,Home Appliance,2,1800,3600,1800,Cash,0.05
O51,22-03-2025,C041,AC ,Electronics,1,40000,40000,0,Credit,0
O52,23-03-2025,C042,Mobile,Electronics,3,20000,60000,40000,Cash,0
O53,24-03-2025,C043,Sofa,Furniture,1,30000,30000,0,Cash,0.1
O54,25-03-2025,C044,Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0
O55,26-03-2025,C045,Chair,Furniture,2,6000,12000,6000,Cash,0.05
O56,27-03-2025,C046,Mobile,Electronics,1,20000,20000,0,Cash,0
O57,28-03-2025,C047,AC,Electronics,1,40000,40000,0,Cash,0.05
O58,29-03-2025,C048,Printer,Electronics,3,8000,24000,16000,Credit,0
O59,30-03-2025,C049,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.1
O60,31-03-2025,C050,Bookshelf Rack,Furniture,4,15000,60000,45000,Cash,0
O61,01-04-2025,C051,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.05
O62,02-04-2025,C052,Laptop,Electronics,2,50000,100000,50000,Credit,0.1
O63,03-04-2025,C053,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0
O64,04-04-2025,C054,Mobile,Electronics,5,20000,100000,80000,Cash,0
O65,05-04-2025,C055,Table,Furniture,1,25000,25000,0,Cash,0.15
O66,06-04-2025,C056,Ceiling Fan,Home Appliance,4,25000,100000,75000,Cash,0.05
O67,07-04-2025,C057,Sofa,Furniture,2,30000,60000,30000,Credit,0
O68,08-04-2025,C058,Monitor,Electronics,1,12000,12000,0,Cash,0.1
O69,09-04-2025,C059,Chair,Furniture,1,60000,60000,0,Cash,0
O70,10-04-2025,C060,Water Purifier,Home Appliance,3,5500,16500,11000,Cash,0.05
O71,11-04-2025,C061,AC,Electronics,1,40000,40000,0,Credit,0
O72,12-04-2025,C062,Mobile,Electronics,1,20000,20000,0,Cash,0
O73,13-04-2025,C063,Printer,Electronics,1,8000,8000,0,Cash,0.1
O74,14-04-2025,C064,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0
O75,15-04-2025,C065,Bookshelf Rack,Furniture,1,15000,15000,0,Cash,0.05
O76,16-04-2025,C066,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0
O77,17-04-2025,C067, AC,Electronics,1,40000,40000,0,Credit,0.05
O78,18-04-2025,C068,Sofa,Furniture,4,30000,120000,90000,Credit,0
O79,19-04-2025,C069,Mobile,Electronics,2,20000,40000,20000,Cash,0.1
O80,20-04-2025,C070,Ceiling Fan,Home Appliance,1,25000,25000,0,Cash,0
O81,21-04-2025,C071,Chair,Furniture,1,60000,60000,0,Credit,0.05
O82,22-04-2025,C072,Monitor,Electronics,3,12000,36000,24000,Cash,0.1
O83,23-04-2025,C073,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O84,24-04-2025,C074,Bookshelf Rack,Furniture,5,15000,75000,60000,Cash,0
O85,25-04-2025,C075,Sofa,Furniture,1,30000,30000,0,Cash,0.15
O86,26-04-2025,C076,Ceiling Fan,Home Appliance,2,25000,50000,25000,Cash,0.05
O87,27-04-2025,C077,Printer,Electronics,1,8000,8000,0,Cash,0
O88,28-04-2025,C078,AC ,Electronics,1,40000,40000,0,Cash,0.1
O89,29-04-2025,C079,Monitor,Electronics,1,12000,12000,0,Cash,0
O90,30-04-2025,C080,Laptop,Electronics,4,50000,200000,150000,Credit,0.05
O91,01-05-2025,C081,Sofa,Furniture,2,30000,60000,30000,Cash,0
O92,02-05-2025,C082,Bookshelf Rack,Furniture,1,15000,15000,0,Cash,0
O93,03-05-2025,C083,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0.1
O94,04-05-2025,C084,Mobile,Electronics,3,20000,60000,40000,Cash,0
O95,05-05-2025,C085,Laptop,Electronics,1,50000,50000,0,Credit,0.05
O96,06-05-2025,C086,Mobile,Electronics,4,20000,80000,60000,Cash,0
O97,07-05-2025,C087, Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.05
O98,08-05-2025,C088, Printer,Electronics,2,8000,16000,8000,Cash,0
O99,09-05-2025,C089,Table,Furniture,1,25000,25000,0,Cash,0.1
O100,10-05-2025,C090,AC,Electronics,5,40000,200000,160000,Credit,0
O101,11-05-2025,C091,Sofa,Furniture,1,30000,30000,0,Credit,0.05
O102,12-05-2025,C092,Monitor,Electronics,4,12000,48000,36000,Cash,0.1
O103,13-05-2025,C093, Chair,Furniture,2,6000,12000,6000,Cash,0
O104,14-05-2025,C094,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0
O105,15-05-2025,C095,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0.15
O106,16-05-2025,C096,Mixer Grinder,Home Appliance,3,5000,15000,10000,Cash,0.05
O107,17-05-2025,C097,Printer,Electronics,1,8000,8000,0,Cash,0
O108,18-05-2025,C098,AC,Electronics,3,50000,150000,100000,Cash,0.1
O109,19-05-2025,C099,Bookshelf Rack,Furniture,1,15000,15000,0,Credit,0
O110,20-05-2025,C100,Water Purifier,Home Appliance,2,5500,11000,5500,Cash,0.05
O111,21-05-2025,C101,Mobile,Electronics,1,20000,20000,0,Credit,0
O112,22-05-2025,C102,Monitor,Electronics,4,12000,48000,36000,Cash,0
O113,23-05-2025,C103,Ceiling Fan,Home Appliance,1,25000,25000,0,Credit,0.1
O114,24-05-2025,C104,Sofa,Furniture,4,30000,120000,90000,Cash,0
O115,25-05-2025,C105,Table,Furniture,2,25000,50000,25000,Cash,0.05
