Order_id,Product Name,Category,Region,Quantity,Sales,Profit,Order Date,,
O01,Printer,Office,North,4,3640,348.93,01-01-2022,,
O02,Mouse,Accessories,East,7,1197,106.53,01-01-2022,, 
O03,Tablet,Electronics,South,5,5865,502.73,01-01-2022,,
O04,Mouse,Accessories,South,2,786,202.87,01-01-2022,,
O05,Mouse,Accessories,West,1,509,103.28,01-01-2022,,
O06,Camera,Electronics,West,1,524,106.35,02-01-2022,,
O07,Headphones,Accessories,North,7,6167,1027.98,02-01-2022,,
O08,Camera,Electronics,South,7,3059,873.5,03-01-2022,,
O09,Smartwatch,Electronics,East,9,5526,595.28,04-01-2022,,
O10,Printer,Office,South,8,672,186.37,04-01-2022,,
O11,Monitor,Accessories,South,6,7074,1357.68,04-01-2022,,
O12,Smartwatch,Electronics,East,2,502,137.4,04-01-2022,,
O13,Tablet,Electronics,North,7,7462,2166.17,05-01-2022,,
O14,Smartphone,Electronics,West,5,4205,585.29,05-01-2022,,
O15,Camera,Electronics,West,1,570,138.54,05-01-2022,,
O16,Headphones,Accessories,East,1,441,102.42,06-01-2022,,
O17,Mouse,Accessories,North,7,7469,589.81,07-01-2022,,
O18,Tablet,Electronics,South,2,2212,145.75,07-01-2022,,
O19,Tablet,Electronics,East,5,740,146.39,07-01-2022,,
O20,Headphones,Accessories,North,1,662,193.92,08-01-2022,,
O21,Mouse,Accessories,North,7,5712,651.27,08-01-2022,,
O22,Smartwatch,Electronics,North,3,2739,572.73,08-01-2022,,
O23,Keyboard,Accessories,West,5,1400,213.63,09-01-2022,,
O24,Printer,Office,North,3,3477,939.2,09-01-2022,,
O25,Camera,Electronics,North,5,3475,570.36,10-01-2022,,
O26,Laptop,Electronics,West,9,6138,1562.14,10-01-2022,,
O27,Camera,Electronics,West,5,3665,406.93,10-01-2022,,
O28,Printer,Office,North,2,2372,206.42,10-01-2022,,
O29,Laptop,Electronics,North,2,1382,211.11,10-01-2022,,
O30,Laptop,Electronics,West,1,1126,194.08,11-01-2022,,
O31,Printer,Office,West,8,1376,152.1,11-01-2022,,
O32,Mouse,Accessories,West,4,988,147.91,11-01-2022,,
O33,Laptop,Electronics,North,9,10773,1907.36,11-01-2022,,
O34,Headphones,Accessories,South,4,3252,713.46,11-01-2022,,
O35,Headphones,Accessories,North,3,2739,202.81,12-01-2022,,
O36,Tablet,Electronics,South,7,2709,702.79,12-01-2022,,
O37,Printer,Office,West,3,936,201.24,12-01-2022,,
O38,Camera,Electronics,West,4,3720,410.92,12-01-2022,,
O39,Mouse,Accessories,West,5,5320,716.91,12-01-2022,,
O40,Headphones,Accessories,East,4,804,121.51,13-01-2022,,
O41,Laptop,Electronics,North,8,1224,246.77,13-01-2022,,
O42,Headphones,Accessories,South,9,8667,781.78,13-01-2022,,
O43,Monitor,Accessories,West,3,3018,320.11,13-01-2022,,
O44,Laptop,Electronics,West,5,4325,1023.39,13-01-2022,,
O45,Laptop,Electronics,South,3,1557,181.08,14-01-2022,,
O46,Monitor,Accessories,South,6,3672,1002.5,14-01-2022,,
O47,Mouse,Accessories,West,1,333,72.34,14-01-2022,,
O48,Headphones,Accessories,West,4,2384,577.26,15-01-2022,,
O49,Mouse,Accessories,West,6,888,210.39,15-01-2022,,
O50,Laptop,Electronics,West,5,3280,954.17,15-01-2022,,
O51,Mouse,Accessories,South,7,1239,177.39,16-01-2022,,
O52,Headphones,Accessories,East,8,5880,436.85,16-01-2022,,
O53,Smartphone,Electronics,West,2,1668,437.3,16-01-2022,,
O54,Printer,Office,West,7,4109,1037.64,16-01-2022,,
O55,Smartwatch,Electronics,West,7,595,148.5,16-01-2022,,
O56,Headphones,Accessories,East,7,8155,1587.91,17-01-2022,,
O57,Monitor,Accessories,South,3,1872,553.1,17-01-2022,,
O58,Smartwatch,Electronics,East,6,2124,126.03,17-01-2022,,
O59,Monitor,Accessories,West,5,5210,1338.8,17-01-2022,,
O60,Mouse,Accessories,South,7,5761,362.48,17-01-2022,,
O61,Headphones,Accessories,South,7,6895,1596.35,18-01-2022,,
O62,Smartwatch,Electronics,East,3,2118,317.08,18-01-2022,,
